region,arm,radius_km,dc_mw,cost_mae_gbp
TLC2,LU-soft,10.0,500.0,7063778.780100285
TLC2,Ref,10.0,500.0,3928902.203816808
TLC2,GNN-oof-42,10.0,500.0,5853268.665403066
TLC2,GNN-oof-123,10.0,500.0,6757120.580963736
TLC2,GNN-oof-456,10.0,500.0,5398733.472105704
TLC2,Uni,20.0,100.0,10875418.057308478
TLC2,LU,20.0,100.0,9818757.324028106
TLC2,LU-soft,20.0,100.0,8690443.53009233
TLC2,Ref,20.0,100.0,3583873.03310566
TLC2,GNN-oof-42,20.0,100.0,6717810.211787882
TLC2,GNN-oof-123,20.0,100.0,8017660.93066993
TLC2,GNN-oof-456,20.0,100.0,6221369.960256413
TLC2,Uni,20.0,300.0,12687725.195451008
TLC2,LU,20.0,300.0,11771258.488948002
TLC2,LU-soft,20.0,300.0,10460428.96330421
TLC2,Ref,20.0,300.0,4394067.2886111215
TLC2,GNN-oof-42,20.0,300.0,8418971.617794544
TLC2,GNN-oof-123,20.0,300.0,9815726.380187042
TLC2,GNN-oof-456,20.0,300.0,7854581.128802851
TLC2,Uni,20.0,500.0,13539834.697225384
TLC2,LU,20.0,500.0,12653194.138770096
TLC2,LU-soft,20.0,500.0,11275270.079360988
TLC2,Ref,20.0,500.0,4674326.62899741
TLC2,GNN-oof-42,20.0,500.0,9164039.118514743
TLC2,GNN-oof-123,20.0,500.0,10677858.656831507
TLC2,GNN-oof-456,20.0,500.0,8508170.286306422
TLD6,Uni,5.0,100.0,7018432.944437965
TLD6,LU,5.0,100.0,6823936.876256673
TLD6,LU-soft,5.0,100.0,5748442.273098463
TLD6,Ref,5.0,100.0,3077205.938978382
TLD6,GNN-oof-42,5.0,100.0,3738072.887184795
TLD6,GNN-oof-123,5.0,100.0,4045966.604953674
