arm,region,seed,in_sample,corr,rmse,mae
GNN,TLF2,42.0,False,0.21299949383372743,10.02232510649116,7.507233130434675
GNNonehot,TLF2,42.0,False,0.11053767555819735,9.51613194995173,7.213433556217046
GNNfusion,TLF2,42.0,False,0.2689040155107727,16.98344611955054,10.64670148598616
GNNpriorN,TLF2,42.0,False,0.2270281640671408,10.839800751974858,7.494441990748382
GNNpriorP,TLF2,42.0,False,0.2136694205782359,10.92194768067872,7.705908884496111
GNNpriorNP,TLF2,42.0,False,0.20257513731325352,10.575396467346515,7.3924997176789855
MLP,TLF2,42.0,False,0.3157018797222697,9.04728826610631,6.6708353653522465
MLPfusion,TLF2,42.0,False,0.31530081187806563,11.726087987646768,7.9611892482083695
MLPpriorN,TLF2,42.0,False,0.4271277448545246,8.440907501620101,6.161245258025297
MLPpriorP,TLF2,42.0,False,0.41834613543971777,8.358093968036583,6.106548667614601
MLPpriorNP,TLF2,42.0,False,0.43619688350422914,8.531317381181847,6.278388550772717
GNNpostN,TLF2,42.0,False,0.3253059348024147,11.156516334291123,7.891228398706492
GNNaddN,TLF2,42.0,False,0.42670605040635506,10.257977502421948,7.0915740770228926
GNNpostP,TLF2,42.0,False,0.40625380330669436,9.707200759816823,7.047408764001945
GNNaddP,TLF2,42.0,False,0.42711606394619195,6.726815197932024,4.954487898374651
GNNpostNP,TLF2,42.0,False,0.4000187371898852,12.094371579014103,8.693965051978127
GNNaddNP,TLF2,42.0,False,0.49915539649709273,7.43982924880251,5.6010504084656265
MLPpostN,TLF2,42.0,False,0.44498218551769114,8.904082376907317,6.387854651295727
MLPaddN,TLF2,42.0,False,0.4749362004129813,9.257887869931315,6.447516774959457
MLPpostP,TLF2,42.0,False,0.5082005443525219,8.530447883747915,6.300173427311374
MLPaddP,TLF2,42.0,False,0.48140621336218814,6.14881751538191,4.641498015825293
MLPpostNP,TLF2,42.0,False,0.5233367425096095,9.827487869723788,7.345312404574462
MLPaddNP,TLF2,42.0,False,0.5824936781244812,6.269494945894631,4.606409162772793
GNN,TLD3,42.0,False,0.042789286490069384,7.1091502805709945,5.340118130923563
GNNonehot,TLD3,42.0,False,0.06152843103452189,6.841630818613869,5.085769946372295
GNNfusion,TLD3,42.0,False,0.009347536922283463,13.002484896623466,9.06803728088865
GNNpriorN,TLD3,42.0,False,0.030417510474198547,7.799272726338651,5.785477109387878
GNNpriorP,TLD3,42.0,False,0.01611634974217234,7.778133145923694,5.678318533299522
GNNpriorNP,TLD3,42.0,False,0.07169373658916543,7.399734426145746,5.585562675861813
MLP,TLD3,42.0,False,0.18929532870982685,7.2903501009420255,5.599323808560147
MLPfusion,TLD3,42.0,False,0.05936364248244976,16.19631573260171,10.149640502047903
MLPpriorN,TLD3,42.0,False,0.1338745918185975,6.668745956298503,5.085609875354024
MLPpriorP,TLD3,42.0,False,0.12906985126871756,6.879633145816433,5.097648081277265
MLPpriorNP,TLD3,42.0,False,0.13026653913543843,7.586142571416229,5.111094606682998
GNNpostN,TLD3,42.0,False,0.055391414465733965,6.955407417738342,5.153455116761584
GNNaddN,TLD3,42.0,False,0.06244306206821066,7.5827241655150335,5.661707793061297
GNNpostP,TLD3,42.0,False,0.07013712439065724,6.570157624885382,4.954134268340188
GNNaddP,TLD3,42.0,False,0.09139869481287997,5.616152486880637,4.343422106822959
GNNpostNP,TLD3,42.0,False,0.07319526070683348,6.989025785534691,5.206108851832422
GNNaddNP,TLD3,42.0,False,0.09857086726784606,5.972079231861552,4.579923959668473
MLPpostN,TLD3,42.0,False,0.18577099583632684,7.316020302147443,5.636774786550539
MLPaddN,TLD3,42.0,False,0.08652986181590114,8.24936853916516,6.157019632414215
MLPpostP,TLD3,42.0,False,0.17622444898363737,7.571951442645935,5.87393552079834
MLPaddP,TLD3,42.0,False,0.15496736246302575,5.354551068573462,4.146704581939311
MLPpostNP,TLD3,42.0,False,0.16567231229092036,7.859493264029735,6.1264041069028785
MLPaddNP,TLD3,42.0,False,0.16082785205192482,5.944379060959936,4.666358053889185
GNN,TLD6,42.0,False,0.5063861824738655,6.120454001314393,4.598810555173427
