country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,GNN-oof-42,20.0,500.0,0.9,711.6257664086271,471.6101632315672,True,3398349.208136615,48492515.69981735,0.0,39929590.89080821,45094166.491680734,39929590.89080821,True,True
uk,London,GNN-oof-42,20.0,100.0,1.0,1041.7258877381614,471.6101632315672,True,56503.05073325127,48791653.87456626,0.0,31439202.10488401,48735150.823833,31439202.10488401,True,True
uk,London,GNN-oof-42,20.0,300.0,1.0,1041.7258877381614,471.6101632315672,True,1101798.9580205095,66283911.90687886,0.0,58337717.74626732,65182112.94885835,58337717.74626732,True,True
uk,London,GNN-oof-42,20.0,500.0,1.0,1041.7258877381614,471.6101632315672,True,3398349.208136615,82072444.8877006,0.0,95016108.97855428,78674095.67956398,95016108.97855428,True,True
uk,London,GNN-oof-123,20.0,100.0,0.5,541.1211079175232,421.3027836885294,True,22329.0624142351,12040114.638699604,0.0,0.0,12017785.57628537,0.0,True,True
uk,London,GNN-oof-123,20.0,300.0,0.5,541.1211079175232,421.3027836885294,True,747065.4821171153,22346335.298491564,0.0,2260477.601394046,21599269.816374447,2260477.601394046,True,True
uk,London,GNN-oof-123,20.0,500.0,0.5,541.1211079175232,421.3027836885294,True,2623409.118808621,32991666.989242397,0.0,17635690.322678737,30368257.870433778,17635690.322678737,True,True
uk,London,GNN-oof-123,20.0,100.0,0.8,780.7416136475558,421.3027836885294,True,22329.0624142351,26240276.507404465,0.0,4128623.0292144967,26217947.44499023,4128623.0292144967,True,True
uk,London,GNN-oof-123,20.0,300.0,0.8,780.7416136475558,421.3027836885294,True,747065.4821171153,41138053.339214265,0.0,21342859.173594374,40390987.85709715,21342859.173594374,True,True
uk,London,GNN-oof-123,20.0,500.0,0.8,780.7416136475558,421.3027836885294,True,2623409.118808621,54365173.84864832,0.0,45526016.32181879,51741764.7298397,45526016.32181879,True,True
uk,London,GNN-oof-123,20.0,100.0,0.9,937.3539856874131,421.3027836885294,True,22329.0624142351,38535844.78966831,0.0,17311717.810889274,38513515.72725407,17311717.810889274,True,True
