signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
prox,42,TLC1,fold4,3,TLC14,37811,35899,0.9494327047684537,2808.193601500507,True,7812.716800408912,834.8019700649056,0.10685168698566071,2.8933844209433346e-09,17326,17326,1e-08
ntl,42,TLC2,fold3,0,TLC21,45939,45193,0.9837610744683167,1217.6564361984358,True,12631.677950357114,9261.20171812561,0.7331727229369226,1.0820417450929654e-08,0,0,1e-08
ntl,42,TLC2,fold3,1,TLC22,3629,2185,0.6020942408376964,3903.4310723691992,True,3139.6458479771613,26.576208387056372,0.00846471534494221,1.0882546064294729e-07,0,0,1e-08
ntl,42,TLC2,fold3,2,TLC23,1239,705,0.5690072639225182,1474.2916739988514,True,1132.7530187491159,0.8667096431375281,0.0007651355845377698,2.4867415504559176e-06,0,0,1e-08
prox,42,TLC2,fold3,0,TLC21,45939,45193,0.9837610744683167,1181.8163089601526,True,12808.985193349301,9261.20171812561,0.7230238444599205,1.0820417450929654e-08,0,0,1e-08
prox,42,TLC2,fold3,1,TLC22,3629,2185,0.6020942408376964,3343.2568735271293,True,3236.3072640125374,26.576208387056372,0.00821189282074096,1.0882546064294729e-07,0,0,1e-08
prox,42,TLC2,fold3,2,TLC23,1239,705,0.5690072639225182,1101.6053245669118,True,1173.5811542674985,0.8667096431375281,0.0007385170083772289,2.4867415504559176e-06,0,0,1e-08
ntl,42,TLD6,fold2,0,TLD61,4140,3013,0.7277777777777777,2930.64288703565,True,2626.0944673784365,59.63965948747408,0.02271040140723149,2.6723365187386605e-10,830,830,1e-08
ntl,42,TLD6,fold2,1,TLD62,26500,24237,0.9146037735849056,4286.360260173904,True,6380.207763837368,353.0856885661821,0.05534078224967069,1.8933719869718146e-10,16432,16432,1e-08
ntl,42,TLD6,fold2,2,TLD63,20894,18726,0.8962381544941131,4824.636523870636,True,4754.902675361532,244.39488554885276,0.051398504288054765,2.451142067094736e-10,9870,9870,1e-08
